Rank;Country;Year;LowerOrSingleHouse_Seats;LowerOrSingleHouse_Women;LowerOrSingleHouse_PercW;UpperOrSenate_Seats;UpperOrSenate_Women;UpperOrSenate_PercW;Total_PercWomen
170;Mali;2019;147;13;0.088;0;0;0;0.088
171;Central African Republic;2019;140;12;0.086;0;0;0;0.086
172;Tonga;2019;27;2;0.074;0;0;0;0.074
173;Benin;2019;83;6;0.072;0;0;0;0.072
173;Eswatini;2019;69;5;0.072;30;7;0.233;0.121
175;Tuvalu;2019;15;1;0.067;0;0;0;0.067
176;Kiribati;2019;46;3;0.065;0;0;0;0.065
177;Comoros;2019;33;2;0.061;0;0;0;0.061
178;Iran (Islamic Republic of);2019;289;17;0.059;0;0;0;0.059
178;Maldives;2019;85;5;0.059;0;0;0;0.059
180;Sri Lanka;2019;225;13;0.058;0;0;0;0.058
181;Nigeria;2019;360;20;0.056;108;7;0.065;0.058
182;Thailand;2019;246;13;0.053;0;0;0;0.053
183;Lebanon;2019;128;6;0.047;0;0;0;0.047
184;Kuwait;2019;65;2;0.031;0;0;0;0.031
185;Haiti;2019;118;3;0.025;28;1;0.036;0.027
186;Solomon Islands;2019;49;1;0.02;0;0;0;0.020
187;Oman;2019;85;1;0.012;85;14;0.165;0.088
188;Micronesia (Federated States of);2019;14;0;0;0;0;0;0.000
188;Papua New Guinea;2019;106;0;0;0;0;0;0.000
188;Vanuatu;2019;52;0;0;0;0;0;0.000
188;Yemen;2019;275;0;0;111;2;0.018;0.005
