Rank;Country;Year;LowerOrSingleHouse_Seats;LowerOrSingleHouse_Women;LowerOrSingleHouse_PercW;UpperOrSenate_Seats;UpperOrSenate_Women;UpperOrSenate_PercW;Total_PercWomen
1;Rwanda;2020;80;49;61.3;26;10;38.5;0.557
2;Cuba;2020;605;322;53.2;0;0;0;0.532
3;Bolivia (Plurinational State of);2020;130;69;53.1;36;17;47.2;0.518
4;United Arab Emirates;2020;40;20;50;0;0;0;0.500
5;Mexico;2020;500;241;48.2;128;63;49.2;0.484
6;Sweden;2020;349;165;47.3;0;0;0;0.473
7;Finland;2020;200;94;47;0;0;0;0.470
8;Grenada;2020;15;7;46.7;13;4;30.8;0.393
9;Andorra;2020;28;13;46.4;0;0;0;0.464
9;South Africa;2020;397;184;46.4;53;20;37.7;0.453
11;Costa Rica;2020;57;26;45.6;0;0;0;0.456
12;Nicaragua;2020;92;41;44.6;0;0;0;0.446
13;Spain;2020;350;154;44;264;103;39;0.419
14;Namibia;2020;96;41;42.7;42;10;23.8;0.370
15;Belgium;2020;150;63;42;60;28;46.7;0.433
16;Senegal;2020;165;69;41.8;0;0;0;0.418
17;Switzerland;2020;200;83;41.5;46;12;26.1;0.386
18;Mozambique;2020;250;103;41.2;0;0;0;0.412
19;New Zealand;2020;120;49;40.8;0;0;0;0.408
19;Norway;2020;169;69;40.8;0;0;0;0.408
21;Argentina;2020;254;102;40.2;72;28;38.9;0.399
22;Belarus;2020;110;44;40;56;14;25;0.349
23;France;2020;577;229;39.7;348;112;32.2;0.369
24;Austria;2020;183;72;39.3;61;22;36.1;0.385
25;North Macedonia;2020;120;47;39.2;0;0;0;0.392
26;Denmark;2020;179;70;39.1;0;0;0;0.391
27;Ethiopia;2020;547;212;38.8;153;49;32;0.373
28;Portugal;2020;230;89;38.7;0;0;0;0.387
29;Timor0Leste;2020;65;25;38.5;0;0;0;0.385
30;Iceland;2020;63;24;38.1;0;0;0;0.381
31;Ecuador;2020;137;52;38;0;0;0;0.380
32;Serbia;2020;247;93;37.7;0;0;0;0.377
33;United Republic of Tanzania;2020;393;145;36.9;0;0;0;0.369
34;Burundi;2020;121;44;36.4;39;18;46.2;0.388
35;Italy;2020;630;225;35.7;320;110;34.4;0.353
36;Uganda;2020;459;160;34.9;0;0;0;0.349
37;Monaco;2020;24;8;33.3;0;0;0;0.333
38;Nepal;2020;275;90;32.7;59;22;37.3;0.335
39;United Kingdom;2020;650;208;32;789;208;26.4;0.289
40;Guyana;2020;69;22;31.9;0;0;0;0.319
40;Zimbabwe;2020;270;86;31.9;80;35;43.8;0.346
42;Suriname;2020;51;16;31.4;0;0;0;0.314
43;Netherlands;2020;150;47;31.3;75;29;38.7;0.338
44;Cameroon;2020;180;56;31.1;100;26;26;0.293
45;El Salvador;2020;84;26;31;0;0;0;0.310
45;Trinidad and Tobago;2020;42;13;31;31;11;35.5;0.329
47;Germany;2020;709;219;30.9;69;27;39.1;0.316
48;Australia;2020;151;46;30.5;76;37;48.7;0.366
49;Angola;2020;220;66;30;0;0;0;0.300
49;Latvia;2020;100;30;30;0;0;0;0.300
49;Peru;2020;130;39;30;0;0;0;0.300
52;Estonia;2020;101;30;29.7;0;0;0;0.297
53;Albania;2020;122;36;29.5;0;0;0;0.295
54;Canada;2020;338;98;29;105;49;46.7;0.332
55;Poland;2020;460;132;28.7;100;24;24;0.279
56;South Sudan;2020;383;109;28.5;50;6;12;0.266
57;Montenegro;2020;81;23;28.4;0;0;0;0.284
58;Philippines;2020;304;85;28;24;7;29.2;0.280
59;Afghanistan;2020;244;68;27.9;68;17;25;0.272
60;Slovenia;2020;90;25;27.8;40;4;10;0.223
61;Lao People's Democratic Republic;2020;149;41;27.5;0;0;0;0.275
62;Kazakhstan;2020;107;29;27.1;47;5;10.6;0.221
63;Dominican Republic;2020;190;51;26.8;32;3;9.4;0.243
64;Viet Nam;2020;494;132;26.7;0;0;0;0.267
65;Djibouti;2020;65;17;26.2;0;0;0;0.262
66;Algeria;2020;462;119;25.8;132;9;6.8;0.215
66;Bulgaria;2020;240;62;25.8;0;0;0;0.258
68;Republic of Moldova;2020;101;26;25.7;0;0;0;0.257
69;Iraq;2020;329;83;25.2;0;0;0;0.252
70;Dominica;2020;32;8;25;0;0;0;0.250
70;Luxembourg;2020;60;15;25;0;0;0;0.250
70;San Marino;2020;60;15;25;0;0;0;0.250
70;Turkmenistan;2020;124;31;25;0;0;0;0.250
74;China;2020;2975;742;24.9;0;0;0;0.249
75;Somalia;2020;275;67;24.4;54;13;24.1;0.243
76;Cabo Verde;2020;72;17;23.6;0;0;0;0.236
77;Armenia;2020;132;31;23.5;0;0;0;0.235
78;United States of America;2020;431;101;23.4;100;25;25;0.237
79;Israel;2020;120;28;23.3;0;0;0;0.233
79;Lesotho;2020;120;28;23.3;32;7;21.9;0.230
81;Singapore;2020;100;23;23;0;0;0;0.230
82;Malawi;2020;192;44;22.9;0;0;0;0.229
83;Guinea;2020;114;26;22.8;0;0;0;0.228
84;Chile;2020;155;35;22.6;43;10;23.3;0.227
84;Tunisia;2020;217;49;22.6;0;0;0;0.226
86;Czech Republic;2020;200;45;22.5;81;13;16.1;0.206
87;Ireland;2020;158;35;22.2;60;18;30;0.243
87;Venezuela (Bolivarian Republic of);2020;167;37;22.2;0;0;0;0.222
89;Eritrea;2020;150;33;22;0;0;0;0.220
90;Romania;2020;329;72;21.9;136;19;14;0.196
91;Kenya;2020;349;76;21.8;68;21;30.9;0.233
92;Bosnia and Herzegovina;2020;42;9;21.4;15;3;20;0.211
93;Lithuania;2020;141;30;21.3;0;0;0;0.213
94;Seychelles;2020;33;7;21.2;0;0;0;0.212
95;Honduras;2020;128;27;21.1;0;0;0;0.211
95;Panama;2020;71;15;21.1;0;0;0;0.211
97;Equatorial Guinea;2020;100;21;21;72;12;16.7;0.192
98;Greece;2020;300;62;20.7;0;0;0;0.207
99;Bangladesh;2020;349;72;20.6;0;0;0;0.206
100;Croatia;2020;151;31;20.5;0;0;0;0.205
100;Morocco;2020;395;81;20.5;120;14;11.7;0.184
100;Ukraine;2020;424;87;20.5;0;0;0;0.205
103;Mauritania;2020;153;31;20.3;0;0;0;0.203
104;Pakistan;2020;341;69;20.2;104;20;19.2;0.200
105;Barbados;2020;30;6;20;21;9;42.9;0.294
105;Cambodia;2020;125;25;20;62;11;17.7;0.193
105;Mauritius;2020;70;14;20;0;0;0;0.200
105;Slovakia;2020;150;30;20;0;0;0;0.200
109;Saudi Arabia;2020;151;30;19.9;0;0;0;0.199
110;Fiji;2020;51;10;19.6;0;0;0;0.196
111;Guatemala;2020;160;31;19.4;0;0;0;0.194
112;Kyrgyzstan;2020;120;23;19.2;0;0;0;0.192
112;Uruguay;2020;99;19;19.2;30;8;26.7;0.209
114;Tajikistan;2020;63;12;19.1;32;7;21.9;0.200
115;Colombia;2020;171;32;18.7;105;22;21;0.196
116;Zambia;2020;167;30;18;0;0;0;0.180
117;Cyprus;2020;56;10;17.9;0;0;0;0.179
117;Gabon;2020;134;24;17.9;100;18;18;0.179
119;Democratic People's Republic of Korea;2020;687;121;17.6;0;0;0;0.176
120;Jamaica;2020;63;11;17.5;21;5;23.8;0.190
120;Turkey;2020;596;104;17.5;0;0;0;0.174
122;Indonesia;2020;575;100;17.4;0;0;0;0.174
123;Mongolia;2020;75;13;17.3;0;0;0;0.173
124;Niger;2020;171;29;17;0;0;0;0.170
125;Azerbaijan;2020;119;20;16.8;0;0;0;0.168
126;Republic of Korea;2020;300;50;16.7;0;0;0;0.167
126;Saint Lucia;2020;18;3;16.7;11;3;27.3;0.207
128;Togo;2020;91;15;16.5;0;0;0;0.165
129;Thailand;2020;500;81;16.2;250;25;10;0.141
