Rank;Country;Year;LowerOrSingleHouse_Seats;LowerOrSingleHouse_Women;LowerOrSingleHouse_PercW;UpperOrSenate_Seats;UpperOrSenate_Women;UpperOrSenate_PercW;Total_PercWomen
130;Libya;2020;188;30;16;0;0;0;0.160
130;Uzbekistan;2020;150;24;16;100;17;17;0.164
132;Madagascar;2020;151;24;15.9;62;12;19.4;0.169
133;Russian Federation;2020;450;71;15.8;170;31;18.2;0.165
134;Jordan;2020;130;20;15.4;65;10;15.4;0.154
135;Bahrain;2020;40;6;15;40;9;22.5;0.188
135;Brazil;2020;513;77;15;81;12;14.8;0.150
135;Paraguay;2020;80;12;15;45;9;20;0.168
138;Bhutan;2020;47;7;14.9;25;4;16;0.153
138;Chad;2020;168;25;14.9;0;0;0;0.149
138;Egypt;2020;596;89;14.9;0;0;0;0.149
138;Malta;2020;67;10;14.9;0;0;0;0.149
142;Georgia;2020;149;22;14.8;0;0;0;0.148
143;Sao Tome and Principe;2020;55;8;14.6;0;0;0;0.145
144;India;2020;542;78;14.4;244;28;11.5;0.135
144;Malaysia;2020;222;32;14.4;68;13;19.1;0.155
146;Guinea0Bissau;2020;102;14;13.7;0;0;0;0.137
147;Burkina Faso;2020;127;17;13.4;0;0;0;0.134
148;Saint Kitts and Nevis;2020;15;2;13.3;0;0;0;0.133
149;Syrian Arab Republic;2020;250;33;13.2;0;0;0;0.132
150;Ghana;2020;275;36;13.1;0;0;0;0.131
151;Saint Vincent and the Grenadines;2020;23;3;13;0;0;0;0.130
152;Bahamas;2020;39;5;12.8;16;7;43.8;0.218
153;Hungary;2020;199;25;12.6;0;0;0;0.126
154;Palau;2020;16;2;12.5;13;2;15.4;0.138
155;Liberia;2020;73;9;12.3;30;3;10;0.117
155;Sierra Leone;2020;146;18;12.3;0;0;0;0.123
157;Liechtenstein;2020;25;3;12;0;0;0;0.120
158;Congo;2020;151;17;11.3;69;13;18.8;0.136
158;Myanmar;2020;433;49;11.3;224;27;12.1;0.116
160;Antigua and Barbuda;2020;18;2;11.1;17;9;52.9;0.314
161;Côte d'Ivoire;2020;255;28;11;99;19;19.2;0.133
162;Botswana;2020;65;7;10.8;0;0;0;0.108
163;Nauru;2020;19;2;10.5;0;0;0;0.105
164;Gambia (The);2020;58;6;10.3;0;0;0;0.103
165;Japan;2020;465;47;10.1;245;56;22.9;0.145
166;Democratic Republic of the Congo;2020;500;50;10;109;23;21.1;0.120
166;Samoa;2020;50;5;10;0;0;0;0.100
168;Qatar;2020;41;4;9.8;0;0;0;0.098
169;Mali;2020;147;14;9.5;0;0;0;0.095
170;Belize;2020;32;3;9.4;13;2;15.4;0.111
171;Brunei Darussalam;2020;33;3;9.1;0;0;0;0.091
172;Central African Republic;2020;140;12;8.6;0;0;0;0.086
173;Tonga;2020;27;2;7.4;0;0;0;0.074
174;Eswatini;2020;69;5;7.3;30;7;23.3;0.121
175;Benin;2020;83;6;7.2;0;0;0;0.072
176;Kiribati;2020;46;3;6.5;0;0;0;0.065
177;Tuvalu;2020;16;1;6.3;0;0;0;0.063
178;Comoros;2020;33;2;6.1;0;0;0;0.061
178;Marshall Islands;2020;33;2;6.1;0;0;0;0.061
180;Iran (Islamic Republic of);2020;289;17;5.9;0;0;0;0.059
181;Sri Lanka;2020;225;12;5.3;0;0;0;0.053
182;Lebanon;2020;128;6;4.7;0;0;0;0.047
183;Kuwait;2020;65;3;4.6;0;0;0;0.046
183;Maldives;2020;87;4;4.6;0;0;0;0.046
185;Solomon Islands;2020;49;2;4.1;0;0;0;0.041
186;Nigeria;2020;355;12;3.4;107;7;6.5;0.041
187;Haiti;2020;118;3;2.5;28;1;3.6;0.027
188;Oman;2020;86;2;2.3;86;15;17.4;0.099
189;Yemen;2020;301;1;0.3;111;3;2.7;0.010
190;Micronesia (Federated States of);2020;14;0;0;0;0;0;0.000
